H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
39.0601997,2115.3300781,4.5762501,67.4167023,42.5340004,4.6156702,45.7995987,2118.7099609,4.95928,50.7296982,38.8102989,1.84499,240.9219971,101.0319977,39.5471992,217.298996,115.1839981,36.3115997
44.9746017,1952.6800537,4.1970301,67.2928009,41.8914986,1.97138,50.5481987,1963.8000488,4.7521901,56.0237999,37.6654015,1.59471,231.0440063,99.373703,41.5741005,226.8309937,112.913002,42.2252998
55.2364998,1937.4899902,4.4064498,64.6397018,41.3768997,2.36412,57.0135994,1960.2199707,4.68295,50.5474014,35.4553986,1.62169,245.1560059,92.7294998,42.9749985,216.6499939,105.0530014,37.6296005
45.9738007,2074.1398926,4.5408001,64.1605988,41.593399,3.5877099,52.9510002,2099.1499023,4.9467101,48.4053001,36.8606987,1.7883101,240.0050049,91.9410019,39.5125008,209.0399933,105.6539993,33.4499016
60.5639992,1922.1199951,4.2018099,66.3439026,39.6702995,1.81971,65.6199036,1947.4399414,4.8050499,50.4627991,34.882,1.4866101,219.9060059,86.0445023,134.6820068,208.2510071,101.7870026,46.2515984
51.2294998,2045.5500488,4.48527,65.6557007,42.165699,4.3893199,56.5572014,2064.9799805,4.76021,48.8821983,36.4427986,1.73695,245.0619965,94.1434021,41.9981003,213.352005,106.1299973,35.0614014
41.7631989,1942.9499512,3.9802599,69.8423996,42.3689995,1.7886699,49.7916985,1958.9799805,4.7904,58.7308006,38.2262001,1.61672,229.8699951,101.1110001,43.0535011,233.0370026,111.8820038,41.5966988
34.7028999,2118.5700684,4.6321402,65.4220963,41.7686996,2.8310101,39.0791016,2064.3898926,4.9941201,52.6169014,40.9147987,1.77132,226.6609955,99.8302994,40.5112991,217.1950073,116.1330032,40.7275009
48.2827988,2038.25,4.4689999,67.4569016,39.8748016,2.1023099,53.3065987,2063.4399414,5.0597301,50.1458015,35.8953018,1.48259,214.3560028,94.4838028,138.0939941,200.7220001,104.7600021,42.5042992
42.7655983,1942.5200195,4.54843,62.6128006,41.7524986,1.9695899,49.6058006,1976.0799561,4.7717099,49.2896004,37.2333984,1.67521,243.9309998,80.6361008,42.2210007,212.5140076,101.3010025,35.1601982
48.097599,2020.2299805,4.54597,64.7173004,42.0623016,3.2591801,53.4659996,2045.75,4.7634702,48.8930016,36.4850998,1.72315,244.8379974,90.6760025,42.0326996,211.9049988,104.788002,35.0850983
33.9221001,2190.1899414,4.7603202,66.7229996,42.6786995,3.20559,38.6272011,2139.9699707,4.9410501,52.2635002,41.0834007,1.7659301,221.0709991,106.4309998,128.7779999,209.6380005,118.9670029,48.2319984
47.6488991,1922.2700195,4.6808901,65.5501022,41.8261986,2.1550701,49.9877014,1961.2299805,4.6911898,49.7675018,36.4179001,1.61707,246.6959991,85.9645996,41.7322006,213.8329926,103.0800018,38.4129982
43.8443985,2080.5600586,4.5683699,64.3396988,41.6725998,3.60183,50.1791,2084.6101074,4.9549298,48.657299,37.478199,1.76958,238.7799988,92.5254974,39.4840012,209.8650055,106.3730011,33.4527016
43.1803017,2146.2700195,4.6058898,64.7542038,41.4477997,4.6690502,50.5033989,2147.3400879,4.9818201,48.2809982,37.6543999,1.8293101,235.0859985,97.8098984,36.4874992,207.6029968,110.0270004,31.0170002
39.2602997,2000.5699463,4.5454898,68.5466003,43.2701988,2.5458601,44.2504005,2005.9799805,4.8785601,54.342701,39.0265999,1.6225899,240.1450043,98.4998016,42.7028999,226.2259979,113.5839996,41.1399002
35.2061005,2035.4300537,4.5318198,68.3499985,42.0372009,2.6349101,40.5395012,2018.5100098,4.8529201,53.9552994,39.917099,1.66976,231.0480042,97.5782013,40.8557014,229.2819977,116.1050034,41.493
51.8258018,2019.5,4.44484,66.4592972,41.8457985,3.8364999,56.3095016,2040.7199707,4.6882901,49.0643005,36.2005997,1.7156,246.2259979,93.5779037,41.4822998,213.1999969,106.2720032,38.2187996
40.4911003,2067.8701172,4.47158,68.2526016,40.8632011,2.7737601,46.0023994,2076.1201172,4.9390898,51.7583008,37.8381004,1.60852,222.8739929,99.5886002,103.6959991,210.5130005,112.4209976,42.6750984
45.1444016,1956.6600342,4.2589202,70.0042038,40.3802986,2.0597,51.1206017,1987.3299561,4.7957101,52.2817001,36.5587006,1.48576,223.3699951,90.921402,134.1900024,209.2709961,105.8880005,47.4352989
40.5643997,1987.1500244,4.3351498,66.0016022,40.7190018,2.43483,46.3524017,1994.7299805,4.8666301,53.4886017,38.1114006,1.61945,228.4609985,95.3594971,41.0980988,225.1439972,112.0080032,40.7753983
39.7877007,1977.5500488,4.31706,67.6389008,42.2988014,2.2523301,46.1402016,1983.6600342,4.83148,55.6977997,38.5588989,1.6296,235.4600067,99.7951965,42.1632004,229.0339966,115.5500031,42.5628014
42.0578995,2048.4899902,4.5461302,66.8503036,40.0710983,2.3332901,46.5811996,2034.6099854,5.0749798,50.4243011,37.3959007,1.48632,213.8390045,94.4077988,135.0310059,203.029007,105.9079971,42.3003998
34.5632019,2198.0600586,4.5968299,69.4804001,42.4233017,3.96578,39.6996994,2181.5900879,4.9683599,51.980999,40.1046982,1.7467901,225.102005,107.1669998,135.2749939,208.4210052,118.2529984,48.5437012
33.3462982,2006.4599609,4.5566702,68.2946014,42.3129005,2.5792401,38.2370987,1990.0200195,4.8585701,53.4464989,41.4353981,1.64505,230.8919983,92.1649017,40.9576988,227.5220032,115.6849976,41.5144997
39.1834984,2100.9099121,4.6090498,66.9824982,40.9813004,2.9584999,44.3175011,2106.4199219,5.0601001,50.6598015,38.1977997,1.6152101,216.8880005,98.6542969,111.2610016,203.970993,110.9280014,38.8532982
52.1008987,1918.2600098,4.4078999,64.4300003,41.360199,1.94414,55.3339005,1942.8800049,4.6806898,51.6202011,35.3969002,1.59918,245.3829956,92.927002,43.1395988,218.7480011,105.2929993,37.7999992
41.5477982,2134.6398926,4.57621,69.3516998,39.7832985,2.5825,46.6721001,2149.8000488,5.09237,50.9253006,37.2741013,1.50454,210.1699982,102.6790009,141.7850037,190.9179993,108.2649994,40.3582993
41.2517014,2084.5900879,4.5448298,66.6669998,42.1343994,4.1940598,47.4431992,2091.9899902,4.8951898,50.6116982,38.3592987,1.80124,236.9539948,97.8937988,38.6379013,213.2039948,111.9189987,35.6725998
49.9089012,2065.75,4.5191698,65.055603,41.6785011,4.85811,56.3594017,2086.9399414,4.94069,48.6612015,36.6172981,1.76547,240.8630066,95.1955032,39.5416985,211.5839996,106.8050003,33.4799004
