H3A_Al_0_2,H3A_Ca_0_2,H3A_Fe_0_2,H3A_K_0_2,H3A_Mg_0_2,H3A_P_0_2,H3A_Al_2_6,H3A_Ca_2_6,H3A_Fe_2_6,H3A_K_2_6,H3A_Mg_2_6,H3A_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6,PhosphorusTreatment
75.0108032,1799.2099609,6.4210801,151.6840057,107.3980026,55.7097015,68.825798,1678.0799561,6.3322501,93.1233978,92.3190994,26.1313,211.1670074,59.5994987,29.8705006,192.621994,78.407402,26.5389996,0.0
117.9710007,1548.3599854,14.5241003,128.2039948,116.060997,145.7389984,122.2289963,1548.1700439,17.8050995,85.0373993,110.1110001,94.8125992,202.5820007,47.2573013,27.7140999,191.3639984,61.1076012,22.6368008,0.0
73.8378983,1811.2399902,6.2112498,159.1360016,110.6709976,63.1949005,67.7214966,1682.2700195,6.1289401,94.0017014,94.1508026,30.3666,210.4519958,56.7257004,29.875,191.2539978,73.7249985,25.7653008,16.9
73.4888992,1823.5899658,6.1391501,160.7559967,111.2860031,63.1834984,67.2099991,1681.9699707,6.02109,94.0398026,94.1864014,32.2736015,210.3739929,56.0686989,29.4808006,191.7610016,72.1350021,25.5793991,0.0
75.9533005,1778.5500488,6.5579901,148.5800018,106.6849976,56.4626999,70.0981979,1679.3499756,6.5068302,93.0671005,92.3562012,22.9874001,211.2960052,60.7299004,30.0128002,189.1239929,80.767601,26.5112991,16.9
113.7679977,1581.6600342,13.5788002,126.0770035,117.4059982,137.0599976,116.526001,1551.0400391,15.0050001,84.9514999,110.4120026,83.6874008,202.6920013,47.5340996,27.3419991,194.3939972,61.0531998,22.9435005,0.0
103.1880035,1641.0799561,11.5105,120.2529984,117.8239975,113.7220001,106.2109985,1554.0699463,12.6536999,84.8246002,110.6490021,78.5605011,202.753006,48.1082001,25.4225998,199.9429932,60.9831009,23.0203991,0.0
98.2425003,1687.5300293,10.6771002,135.2940063,115.6090012,104.125,100.1380005,1648.6199951,11.6385002,92.1352005,111.1309967,69.1267014,194.8049927,48.6819992,26.6984005,197.0670013,61.5401001,24.4200001,0.0
112.9940033,1578.6600342,13.4734001,125.8440018,116.5100021,133.9810028,117.2829971,1549.9399414,16.1898994,84.9972992,110.2549973,89.7166977,202.5630035,47.6608009,26.8132,192.977005,61.0167007,22.5702991,11.3
74.086998,1804.1199951,6.26583,158.1159973,110.2360001,62.9844017,67.7204971,1682.1400146,6.17557,93.9570999,94.094101,28.9451008,210.503006,57.1861992,29.8820992,190.848999,74.862999,25.8314991,0.0
72.9514999,1835.1999512,6.01858,162.9960022,112.0400009,64.1994019,68.7883987,1683.6199951,6.0603199,94.2288971,94.4430008,35.1820984,210.2350006,54.9375,30.257,192.8500061,69.9352036,25.625,0.0
75.3391037,1790.0899658,6.3599701,148.7149963,104.7649994,51.8375015,70.6415024,1681.2199707,6.61444,93.1922989,92.3855972,21.4018002,211.322998,61.4136009,31.2080994,193.3190002,82.7642975,27.0767002,5.6
152.5330048,1350.3599854,22.0732002,144.1889954,112.7539978,233.6340027,157.7879944,1512.4799805,27.3554993,86.9110031,106.9489975,132.3029938,207.253006,42.7137985,32.4426003,189.2850037,58.7398987,24.5632,11.3
130.8000031,1464.3699951,17.8621998,137.3359985,113.3850021,179.5330048,137.4790039,1517.9200439,22.8111992,86.9027023,107.2890015,116.6880035,206.8300018,45.3469009,29.8873997,191.2510071,59.4407997,23.6546993,5.6
133.7310028,1435.6099854,19.3005009,141.651001,112.7080002,197.6869965,142.2749939,1515.0600586,25.5289993,86.9030991,107.0199966,132.1929932,207.4320068,44.024601,33.6918983,196.2819977,58.1609001,25.2348003,0.0
96.3072968,1670.8399658,10.4049997,119.4100037,117.0930023,106.1549988,102.197998,1554.7399902,12.6421003,84.800499,110.5559998,80.6764984,202.822998,48.5674019,24.8719006,201.0350037,61.0465012,22.3188,0.0
75.1542969,1769.0500488,6.22053,145.8179932,104.0250015,55.8548012,72.6690979,1684.3299561,6.8130102,93.3553009,92.4991989,20.2845001,211.4459991,62.0428009,33.4991989,195.7700043,83.9521027,28.1849995,5.6
140.2890015,1406.0200195,20.2289009,142.470993,112.8389969,208.7709961,147.2749939,1514.5100098,25.9904995,86.9209976,107.0339966,130.125,207.2969971,43.7492981,32.9426994,193.1670074,58.5881004,24.8539009,11.3
