M3_Al_0_2,M3_Ca_0_2,M3_Fe_0_2,M3_K_0_2,M3_Mg_0_2,M3_P_0_2,M3_Al_2_6,M3_Ca_2_6,M3_Fe_2_6,M3_K_2_6,M3_Mg_2_6,M3_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
63.0463982,4009.8601074,29.4582996,409.8349915,135.9109955,14.283,100.7979965,3925.5200195,42.1231995,362.7789917,124.0130005,8.8963699,229.8699951,101.1110001,43.0535011,233.0370026,111.8820038,41.5966988
80.9990005,4266.9101562,31.5646,395.9079895,123.2799988,14.3795004,116.0960007,4250.8198242,41.7159996,348.0409851,116.7129974,9.1132498,226.6609955,99.8302994,40.5112991,217.1950073,116.1330032,40.7275009
166.1719971,4153.5498047,31.2017994,389.2579956,127.2470016,13.7623997,214.8789978,4157.6499023,43.5615997,350.7780151,112.5139999,8.6087503,214.3560028,94.4838028,138.0939941,200.7220001,104.7600021,42.5042992
166.2980042,4194.8100586,33.417099,397.2359924,118.8990021,15.2530003,206.6920013,4196.1899414,42.6623993,344.9719849,111.0080032,7.7349501,243.9309998,80.6361008,42.2210007,212.5140076,101.3010025,35.1601982
178.0440063,4172.5898438,33.0447006,397.803009,128.6959991,15.3912001,211.3890076,4177.4501953,42.6542015,346.776001,115.6350021,7.7290101,244.8379974,90.6760025,42.0326996,211.9049988,104.788002,35.0850983
78.7932968,4296.8300781,30.8911991,390.4580078,124.0289993,15.1371002,109.1449966,4315.5,41.4902992,348.6499939,117.3799973,9.4061499,221.0709991,106.4309998,128.7779999,209.6380005,118.9670029,48.2319984
177.352005,4160.6298828,33.6044998,405.5969849,125.8899994,15.1062002,200.2350006,4159.5,41.6086998,344.9750061,111.6289978,7.7767601,246.6959991,85.9645996,41.7322006,213.8329926,103.0800018,38.4129982
161.9120026,4226.0498047,32.9598999,395.3439941,127.4560013,15.6075001,197.348999,4232.7001953,42.9206009,344.8590088,115.7170029,7.8815699,238.7799988,92.5254974,39.4840012,209.8650055,106.3730011,33.4527016
158.3309937,4255.5200195,32.2741013,397.072998,130.4960022,14.8381004,196.4779968,4267.9799805,42.1138,344.973999,117.3119965,7.8830199,235.0859985,97.8098984,36.4874992,207.6029968,110.0270004,31.0170002
97.1380005,4184.8798828,31.8463001,401.6870117,128.6159973,14.6473999,125.0559998,4165.3198242,42.4766006,348.7709961,117.0159988,8.5489902,240.1450043,98.4998016,42.7028999,226.2259979,113.5839996,41.1399002
81.092598,4226.0800781,31.0681,402.947998,125.1849976,14.5153999,118.0910034,4184.9902344,42.2508011,349.3699951,116.7450027,9.0568504,231.0480042,97.5782013,40.8557014,229.2819977,116.1050034,41.493
181.595993,4159.1499023,32.4339981,405.9299927,133.6300049,15.2568998,215.2359924,4150.8198242,41.5886002,351.9400024,118.6470032,7.88304,246.2259979,93.5779037,41.4822998,213.1999969,106.2720032,38.2187996
114.6279984,4221.7001953,31.0582008,397.7319946,127.9420013,13.9439001,153.4940033,4216.8701172,42.4833984,351.3099976,115.8529968,8.77882,222.8739929,99.5886002,103.6959991,210.5130005,112.4209976,42.6750984
