Ols_Al_0_2,Ols_Ca_0_2,Ols_Fe_0_2,Ols_K_0_2,Ols_Mg_0_2,Ols_P_0_2,Ols_Al_2_6,Ols_Ca_2_6,Ols_Fe_2_6,Ols_K_2_6,Ols_Mg_2_6,Ols_P_2_6,TOC_0_2,IC_0_2,TN_0_2,TOC_2_6,IC_2_6,TN_2_6
1.02405,111.9339981,1.68293,239.0420074,42.0737991,5.2628899,0.977836,92.3769989,1.34218,206.6629944,32.9687004,3.1614299,161.8450012,64.9218979,20.0590992,145.970993,81.2558975,17.8817997
0.738656,136.7310028,1.35882,252.3399963,58.3981018,6.2533698,0.804074,112.3410034,1.53784,183.7660065,53.8031998,3.50225,165.2749939,39.0217018,16.4053001,142.6929932,50.1860008,15.8731003
0.7289,103.2109985,1.5651,237.3899994,38.3026009,3.6826799,0.655315,93.5024033,1.31452,209.326004,37.9007988,3.16941,174.7769928,57.8560982,19.9258995,159.9190063,69.4330978,21.5279007
0.828955,103.262001,1.61092,242.0090027,41.0387001,4.74792,0.787819,87.5930023,1.32102,203.871994,35.6152,3.11601,153.2619934,60.7356987,20.1441994,146.7230072,74.4686966,17.3918991
0.595357,140.0339966,1.3277,248.4960022,70.9445038,7.8941398,0.628995,103.2649994,1.51982,170.2149963,58.6016006,3.6171501,176.6790009,33.7540016,16.8519993,137.6360016,47.8078995,15.2145004
0.556979,118.0879974,1.3199199,250.326004,50.5214005,4.6506901,0.719654,92.3621979,1.51682,188.0549927,47.0695992,3.2951601,170.0240021,44.4874001,17.1378994,148.0879974,56.6972008,17.7367001
1.18787,125.6299973,1.50126,216.7570038,54.5569992,6.5068402,1.1098,137.1589966,1.5715801,199.9880066,57.4981995,4.07581,184.0039978,38.8003006,17.7145004,149.3009949,48.6366005,18.1994991
0.560633,133.5480042,1.31251,249.9459991,58.2598,6.04181,0.682025,95.8759995,1.51059,177.1750031,50.4547997,3.3032,179.8339996,38.4081001,16.9050999,142.8589935,50.7625999,15.757
0.540046,127.25,1.31315,250.0119934,56.1472015,5.4979801,0.717775,90.1328964,1.51326,180.4609985,47.8639984,3.4007101,181.052002,42.8254013,17.0755997,145.996994,54.4827003,17.1452999
0.66642,104.3079987,1.54091,238.1730042,40.3470001,3.9467599,0.686411,95.3347015,1.31349,209.3800049,38.9259987,3.17998,173.1589966,57.0587006,19.8426991,159.2890015,67.103302,21.2859001
1.0568399,107.4940033,1.67545,232.7619934,38.9597015,4.8102102,0.944769,109.5999985,1.3096499,207.3009949,45.8704987,3.53249,175.3860016,47.1436996,19.632,147.8580017,61.9215012,19.3850994
0.771231,152.0209961,1.35023,249.6560059,65.8457031,7.1374202,0.81925,120.5650024,1.49648,180.3009949,58.0784988,3.6356499,167.9400024,35.2173996,16.8859997,141.0480042,47.7874985,15.3206997
0.858731,108.7030029,1.64686,239.2120056,43.2766991,5.0205302,0.838373,90.0768967,1.34074,204.5570068,35.1394005,3.1210799,156.8789978,61.6776009,19.9498005,146.1549988,75.8962021,17.7189007
0.756457,152.8630066,1.34068,248.8760071,78.5663986,9.4749699,0.850054,122.1719971,1.5155801,170.5599976,64.0690002,4.1298199,193.0850067,32.8540001,16.9955997,143.6269989,43.1111984,16.4251003
0.540559,128.3840027,1.31204,250.2689972,54.1677017,5.4349499,0.72174,93.0062027,1.51204,179.901001,47.6036987,3.30689,180.9810028,41.3074989,16.9862995,146.404007,52.9471016,16.7360001
0.548672,131.3739929,1.3125499,250.0130005,57.2145004,5.8740201,0.704995,94.1830978,1.51135,178.1929932,49.2803993,3.3468599,181.4700012,39.8101997,16.9841003,144.7489929,51.7761002,16.4431
0.867539,109.7949982,1.64807,239.2579956,43.7747993,5.08991,0.852138,90.5708008,1.34075,204.779007,34.9986992,3.12323,157.7079926,61.9785995,19.9654007,146.3860016,76.3050003,17.8115997
0.645737,129.7929993,1.3354599,248.8079987,53.4972992,5.3305101,0.743072,103.4059982,1.51306,185.4160004,50.1125984,3.2737401,162.3890076,40.4598007,16.9601994,141.8540039,52.7755013,16.2532997
0.746262,98.7559967,1.56358,228.2359924,38.8526001,3.8040099,0.703416,94.3668976,1.49551,206.4830017,39.3995018,3.1580999,165.822998,54.1505013,20.0576,154.1399994,64.6606979,19.9643993
0.681477,145.3009949,1.33277,249.1759949,72.0263977,8.4033098,0.801036,111.6849976,1.51806,171.9550018,58.774601,3.8687301,189.8910065,34.5847015,16.9234009,143.9279938,45.4430008,16.2411995
0.680124,103.4940033,1.54632,237.9360046,39.875,3.86325,0.684022,95.2361984,1.31378,209.8269958,38.8507004,3.1859601,173.7969971,57.0696983,19.8588009,159.4389954,67.3209991,21.3813
0.852173,146.1430054,1.37282,244.5410004,62.4905014,7.2778201,0.937453,122.6190033,1.50065,184.6230011,54.7979012,3.83499,167.970993,42.0718002,16.8069992,138.9080048,53.0326996,16.2210999
1.03602,111.1940002,1.68571,239.0390015,41.4490013,5.2358398,0.985743,92.1757965,1.34233,206.5769958,32.9095993,3.1673801,161.9839935,64.9721985,20.0545006,145.7899933,81.3551025,17.8229008
0.685869,106.9990005,1.54528,229.3619995,42.8911018,4.1518998,0.698583,95.6020966,1.4956501,203.8059998,39.7164993,3.14147,167.8070068,54.0677986,20.0613995,155.2969971,64.1154022,19.9689999
0.558116,135.2030029,1.31434,249.6340027,62.5205002,6.5678101,0.70484,95.398201,1.51071,176.4609985,51.7612,3.48124,183.647995,38.2947998,17.0555,143.7440033,50.6416016,16.6431999
0.509745,124.776001,1.30814,251.0720062,48.906601,4.8689198,0.787031,94.4354019,1.51165,181.1069946,45.3204002,3.20487,181.6970062,42.1879997,16.9384003,151.4129944,52.9506989,17.2824993
0.657104,147.3419952,1.33408,248.5850067,75.8174973,8.7604904,0.69398,111.3880005,1.51685,170.3769989,61.0163002,3.90095,187.897995,33.0017014,16.9902992,141.1439972,45.2332001,16.1653004
0.916286,110.3580017,1.65876,239.1889954,43.3835983,5.1629701,0.889495,90.7863998,1.34115,205.1159973,34.2578011,3.1344099,158.8079987,63.0031013,19.9866009,146.1130066,78.0376968,17.7661991
0.553459,117.4909973,1.31888,250.4129944,51.8190994,4.5981898,0.717909,89.4653015,1.51589,187.9689941,47.5783997,3.34359,171.8529968,45.2921982,17.1420002,148.2879944,58.2196999,17.9694004
0.783974,98.3314972,1.58953,236.5429993,36.4915009,3.56054,0.685972,91.7926025,1.3158799,210.5339966,37.5783005,3.18156,170.4680023,58.2449989,19.8955002,157.0859985,69.9666977,21.2786007
0.611412,110.1460037,1.47894,254.121994,44.1715012,4.31915,0.655978,93.7903976,1.44172,199.496994,41.9794998,3.2296801,165.246994,52.4356003,19.2063007,152.0559998,63.6006012,19.4596996
0.897229,79.9941025,1.60645,234.7660065,27.6576996,3.0869901,0.741761,94.1669998,1.31774,217.3150024,37.3092003,3.3038001,170.0130005,57.7104988,19.8001995,156.0679932,69.2284012,21.4155006
0.956238,113.177002,1.66608,239.1900024,44.3298988,5.3429999,0.932811,92.4089966,1.3413399,206.1880035,33.6161995,3.1415701,160.9409943,64.142601,20.0400009,146.5899963,79.7860031,18.0182991
0.913457,109.0999985,1.65882,239.1430054,42.7835007,5.10217,0.880448,90.1990967,1.34119,204.8549957,34.300499,3.1350701,158.1829987,62.8311996,19.9699001,145.8300018,77.8286972,17.6532993
1.2582901,35.2775993,1.7423,228.5659943,5.9776301,2.42869,0.916277,101.5569992,1.32789,235.1809998,36.2840004,3.5107,172.6809998,57.717701,20.4335003,154.4440002,70.5440979,21.5757999
0.709215,147.7879944,1.3353699,249.1069946,74.2946014,8.8055296,0.826107,115.4520035,1.51719,171.5090027,60.7041016,3.9651599,191.2120056,33.9929008,16.9466,144.0169983,44.5382996,16.3166008
0.82031,100.8720016,1.6766599,241.0939941,38.1193008,3.7908101,0.75332,86.9518967,1.32497,206.8309937,37.8440018,3.08973,156.4570007,58.8055992,20.4937992,148.8209991,70.5979004,19.7942009
